timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,Date,Year,Month,Month_Name,Week,Day_Name,Hour,Lat_Round,Lon_Round,Geo_Zone,Traffic_Band,RouteRisk_Band,Equipment_Available_Flag,OnTime_Fulfillment_Flag,Cargo_Good_Flag,Weather_Band,Late_Flag,HighDelayRisk_Flag,Disruption_Flag
2024-02-29 00:00:00,30.383967398330665,-90.59609824404872,5.000000512836319,3.283143980055562,0.1722437213242783,799.3916526215547,4.923377727407106,0.0195341907455137,0.9699184794352128,0.6329831035853666,4.54997180271266,437.1903372917714,0.7350651117833474,5.183349975031942,1222.220331756982,-1.514032520213524,0.1190629779356566,8.747952861726446,1.0158628571737771,0.4066126281788098,0.966229430813388,0.9903441590551462,0.6073113410823602,high risk,1.2171994533505477,2024-02-29,2024,2,February,9,Thursday,0,30.4,-90.6,"30.4,-90.6",Low,High,0,1,0,Moderate,1,1,1
2024-02-29 01:00:00,33.16054813532598,-70.21481730967824,5.645771272814628,-0.7295327674980983,4.29617688117289,814.7940036535422,0.5000615759665703,0.0006345853613567,0.9352106692273234,0.3915543675709484,9.933977524317095,859.2638217398617,0.3322623712193922,1.0127125670380452,9921.337126507067,-2.5224057234201567,0.0235216997971507,9.635793225689907,0.5094554903921735,0.8857418610956591,0.7144695802707687,0.971630878745558,0.4343571621790682,high risk,4.357713335089148,2024-02-29,2024,2,February,9,Thursday,1,33.2,-70.2,"33.2,-70.2",Medium,High,0,1,0,Moderate,1,0,1
2024-02-29 02:00:00,49.28865624773301,-92.00429235384615,5.000000006040223,3.918733908420619,1.746981271832032,218.2552764610094,1.6599084009436076,0.0005004855726103,0.9981375766303892,0.9934887593578342,8.334481918909733,281.5264513578667,0.952967617640234,2.581467097630852,9979.011499442471,-9.4823040790992,0.0779610686324445,6.007202184977415,0.9965892219212796,0.3342076001478606,0.5379351973564653,0.9814843864584724,0.7716449429153538,high risk,5.389110378463405,2024-02-29,2024,2,February,9,Thursday,2,49.3,-92.0,"49.3,-92.0",Low,Medium,0,1,0,Severe,1,1,1
2024-02-29 03:00:00,39.06071775275151,-96.8227385872902,11.519076002918716,4.996282575271639,0.2677044665860736,580.0726929447464,0.5285164768130324,0.0628930986222341,0.1879214796938889,0.3007547936033368,4.611710351739818,357.454472068141,0.018757171928308,2.216531653333244,9764.035581108315,-9.77698185009706,0.7693848496280706,9.305726797602674,0.6595884339707601,0.3747082959938277,0.2724511910356302,0.9960993304334133,0.9999950547984814,high risk,-0.1371719520933885,2024-02-29,2024,2,February,9,Thursday,3,39.1,-96.8,"39.1,-96.8",Low,High,0,0,1,Mild,0,1,1
2024-02-29 04:00:00,30.647636747593,-70.0012688757983,9.0308578346477,4.977965433378548,8.630423447066532,278.21374833954,1.5348471104304555,0.0681576080358333,0.9617015180123256,0.8786729139121885,2.9932285803170915,701.5884432966228,0.0034734173496115,1.229842514645192,309.31071005586693,1.4863656875791469,7.092455743414348e-08,9.977446260913462,3.837169021699952,0.4428189994857847,0.924114161522341,0.5847920781655328,0.0606458388392021,moderate risk,7.927247150967741,2024-02-29,2024,2,February,9,Thursday,4,30.6,-70.0,"30.6,-70.0",High,High,0,1,0,Severe,1,0,1
2024-02-29 05:00:00,34.668364485795195,-71.3051483962548,5.000134191947464,4.571029594918481,1.0179639307913604,166.82468676386452,1.4161050558799664,0.5501110123549526,0.7606678776587387,0.7773402395636647,2.113807832137881,246.23962920073072,0.1120174612638671,1.0104386799877336,3867.625257069624,-9.992016207224738,0.6907724871311907,7.242680797633345,0.8701743198974506,0.9819504768581568,0.9047187055522166,0.9582011896471472,0.6236456237278675,high risk,2.735910730358315,2024-02-29,2024,2,February,9,Thursday,5,34.7,-71.3,"34.7,-71.3",Low,High,1,1,1,Severe,1,1,1
2024-02-29 06:00:00,32.69967749054885,-106.30206761741772,5.000008892575262,2.930503892356048,6.432900112033501,29.404059216592653,1.2289664263159992,0.9977418707118466,0.0555377390500083,0.9994374378778622,9.875196903713,192.70481236908088,0.0003892485095171,9.483385726865931,425.0953558919202,7.664379492946548,0.0003700736931212,9.724147163227904,4.3789297237607405,0.6230813334357967,0.7151325712211393,0.9999732273828992,0.5927705780979264,high risk,3.20869518257327,2024-02-29,2024,2,February,9,Thursday,6,32.7,-106.3,"32.7,-106.3",Medium,High,1,0,0,Severe,1,1,1
2024-02-29 07:00:00,33.1254083370269,-97.00932464376356,5.771776001613041,1.0799842877969876,0.733560191089288,53.79243732614896,4.076280154764712,8.587871602573376e-07,0.9469237740097474,0.2117337006583284,8.952824626963384,110.61110328966794,0.9747653772555196,13.622596238785809,1093.3226312642637,-9.987906481115258,0.6055683262016703,4.9125201246232,2.116828717832236,0.0563772180678701,0.0562807091824842,0.866470641187382,0.5667092343798158,high risk,-1.978899399035612,2024-02-29,2024,2,February,9,Thursday,7,33.1,-97.0,"33.1,-97.0",Low,Medium,0,1,1,Mild,0,1,1
2024-02-29 08:00:00,39.19138955675898,-70.0683440326504,11.448666919241305,-0.5035737048010536,9.38769016163852,527.4844878421517,2.911800878096731,0.017427086868473,0.8202160060479949,0.5860479529225242,9.852527080982432,146.02705440205932,0.0116117427115698,2.64955550656095,7331.405628212231,-9.216654029655938,0.1278341154127669,1.599680417078304,3.786225161423636,0.67421192099224,0.9964517177397992,0.9927336187070972,0.9701074509303664,high risk,3.4144109840287653,2024-02-29,2024,2,February,9,Thursday,8,39.2,-70.1,"39.2,-70.1",High,Low,0,1,0,Moderate,1,1,1
2024-02-29 09:00:00,42.52975472157021,-93.99643786667444,5.000000712787245,-1.373541306548812,4.60608538073191,238.5417511665865,4.998326045009584,0.7021987497191655,0.663126036665151,0.8480868080235978,8.15329800800119,387.0822308367116,0.4371218869134189,2.8749756398881385,899.4327632204196,27.054013261599977,0.9183818281552946,8.27479925706921,2.027676944117939,0.9454898889266856,0.7626959226949878,0.9501240767270814,0.9997955055414364,high risk,9.855279218370828,2024-02-29,2024,2,February,9,Thursday,9,42.5,-94.0,"42.5,-94.0",Medium,High,1,1,1,Severe,1,1,1
